Date,Adj Close,Close,High,Low,Open,Volume,Log_Return
2023-01-02,6850.98388671875,6850.98388671875,6856.88916015625,6823.47900390625,6850.740234375,109645000,8.832147554039652
2023-01-03,6888.7578125,6888.7578125,6908.001953125,6838.57421875,6850.98388671875,156894900,8.837646059292247
2023-01-04,6813.23876953125,6813.23876953125,6900.60302734375,6813.23876953125,6888.798828125,142541400,8.826622876325903
2023-01-05,6653.8408203125,6653.8408203125,6813.421875,6621.98681640625,6813.27978515625,180589300,8.802949533886581
2023-01-06,6684.55810546875,6684.55810546875,6708.63720703125,6598.64599609375,6653.759765625,109855600,8.80755538495309
2023-01-09,6688.26513671875,6688.26513671875,6726.9658203125,6638.64599609375,6684.55810546875,135949700,8.808109797626887
2023-01-10,6622.4990234375,6622.4990234375,6690.22900390625,6570.2431640625,6688.26513671875,144817300,8.798228073684907
2023-01-11,6584.453125,6584.453125,6622.794921875,6557.919921875,6622.5390625,124903900,8.792466562133363
2023-01-12,6629.93408203125,6629.93408203125,6662.22900390625,6574.0888671875,6584.494140625,148901900,8.79935014075209
2023-01-13,6641.830078125,6641.830078125,6658.47607421875,6600.59423828125,6629.93408203125,165594900,8.801142818671321
2023-01-16,6688.05712890625,6688.05712890625,6688.05712890625,6627.69677734375,6641.830078125,154893500,8.808078696729588
2023-01-17,6767.33984375,6767.33984375,6801.87109375,6688.05712890625,6688.05712890625,217634400,8.819863355711563
2023-01-18,6765.7861328125,6765.7861328125,6790.1640625,6721.4638671875,6767.17822265625,194959200,8.819633739738578
2023-01-19,6819.9072265625,6819.9072265625,6820.98486328125,6754.5517578125,6765.74609375,154234600,8.827601147601655
2023-01-20,6874.93115234375,6874.93115234375,6874.93115234375,6819.5322265625,6819.9072265625,173846000,8.835636908280085
2023-01-24,6860.85400390625,6860.85400390625,6906.791015625,6841.0068359375,6874.93115234375,196805400,8.833587203336991
2023-01-25,6829.93017578125,6829.93017578125,6871.36376953125,6821.27978515625,6860.85400390625,187905300,8.829069729347315
2023-01-26,6864.81787109375,6864.81787109375,6874.869140625,6815.78515625,6829.97021484375,171067600,8.834164787783683
2023-01-27,6898.98095703125,6898.98095703125,6932.708984375,6864.81787109375,6864.81787109375,149187500,8.83912899229172
2023-01-30,6872.48095703125,6872.48095703125,6925.46923828125,6834.0810546875,6899.02197265625,134698100,8.835280449141601
2023-01-31,6839.341796875,6839.341796875,6880.9599609375,6827.2431640625,6872.52099609375,151785000,8.830446777459288
2023-02-01,6862.2578125,6862.2578125,6893.18408203125,6838.916015625,6838.916015625,145899200,8.833791793756049
2023-02-02,6890.57177734375,6890.57177734375,6896.73193359375,6855.3671875,6862.2578125,189189500,8.837909347116579
2023-02-03,6911.73193359375,6911.73193359375,6951.966796875,6890.7138671875,6890.7138671875,202858400,8.840975526976287
2023-02-06,6873.791015625,6873.791015625,6924.8828125,6835.7578125,6911.73193359375,143480000,8.835471054798221
2023-02-07,6935.30078125,6935.30078125,6946.23388671875,6873.791015625,6873.791015625,173101600,8.844379703293637
